array size, create-time(ns), shuffle-time(ns), copy-time(ns), save-time(ns), quicksort-time(ms), bubblesort-time(ms), binarysearch-time(ms), linearsearch-time(ms)
401000, 1890700,  510914400,  276300,  8500,  8500,  N/A,  8500,  8500,  
406000, 1610100,  501946300,  305900,  8900,  8900,  N/A,  8900,  8900,  
411000, 1662000,  522654300,  485500,  11200,  11200,  N/A,  11200,  11200,  
416000, 1650300,  511472900,  300200,  9500,  9500,  N/A,  9500,  9500,  
421000, 1696700,  487681500,  402200,  10100,  10100,  N/A,  10100,  10100,  
426000, 1669200,  499823500,  411500,  10800,  10800,  N/A,  10800,  10800,  
431000, 1767200,  554973700,  292500,  8900,  8900,  N/A,  8900,  8900,  
436000, 1856300,  517515500,  296100,  9200,  9200,  N/A,  9200,  9200,  
441000, 1808400,  517138400,  482100,  11700,  11700,  N/A,  11700,  11700,  
446000, 1816300,  551959500,  314900,  9100,  9100,  N/A,  9100,  9100,  
451000, 1915300,  551895900,  374900,  9500,  9500,  N/A,  9500,  9500,  
456000, 2286900,  650439900,  455400,  9400,  9400,  N/A,  9400,  9400,  
461000, 2153400,  602809300,  398900,  9700,  9700,  N/A,  9700,  9700,  
466000, 1981900,  707418000,  329300,  9200,  9200,  N/A,  9200,  9200,  
471000, 3096900,  589351500,  359700,  8800,  8800,  N/A,  8800,  8800,  
476000, 1782500,  619681500,  325200,  8300,  8300,  N/A,  8300,  8300,  
481000, 1869500,  561465300,  389900,  10400,  10400,  N/A,  10400,  10400,  
486000, 2187500,  627668500,  489000,  11700,  11700,  N/A,  11700,  11700,  
491000, 1859200,  615597300,  477500,  12800,  12800,  N/A,  12800,  12800,  
496000, 1861900,  596350000,  480500,  11500,  11500,  N/A,  11500,  11500,  
501000, 3498000,  675699700,  341000,  9200,  9200,  N/A,  9200,  9200,  
506000, 2228800,  597897200,  364800,  9600,  9600,  N/A,  9600,  9600,  
511000, 2409900,  643017100,  393400,  10700,  10700,  N/A,  10700,  10700,  
516000, 1913300,  696399600,  500700,  10600,  10600,  N/A,  10600,  10600,  
521000, 1979100,  639776200,  358600,  8600,  8600,  N/A,  8600,  8600,  
526000, 2307400,  641696200,  345700,  9300,  9300,  N/A,  9300,  9300,  
531000, 2301000,  627734500,  514800,  12200,  12200,  N/A,  12200,  12200,  
536000, 2389700,  638769100,  415400,  10100,  10100,  N/A,  10100,  10100,  
541000, 1956200,  707206200,  373900,  9800,  9800,  N/A,  9800,  9800,  
546000, 1980300,  666784300,  642800,  13000,  13000,  N/A,  13000,  13000,  
551000, 2266700,  681471900,  407600,  9200,  9200,  N/A,  9200,  9200,  
556000, 2203200,  659730500,  542400,  12600,  12600,  N/A,  12600,  12600,  
561000, 2283400,  709168800,  551600,  10600,  10600,  N/A,  10600,  10600,  
566000, 2198500,  669706000,  610400,  12700,  12700,  N/A,  12700,  12700,  
571000, 2159400,  717205200,  575400,  12300,  12300,  N/A,  12300,  12300,  
576000, 2212600,  708956500,  601500,  12300,  12300,  N/A,  12300,  12300,  
581000, 2384000,  684635100,  583300,  11100,  11100,  N/A,  11100,  11100,  
586000, 2620400,  696211300,  764800,  17400,  17400,  N/A,  17400,  17400,  
591000, 2216100,  685561600,  416800,  10100,  10100,  N/A,  10100,  10100,  
596000, 2479200,  710351300,  434000,  10100,  10100,  N/A,  10100,  10100,  
601000, 2547100,  783713000,  462200,  9500,  9500,  N/A,  9500,  9500,  
606000, 2668300,  780522500,  434200,  10100,  10100,  N/A,  10100,  10100,  
611000, 2300400,  736719500,  443300,  8700,  8700,  N/A,  8700,  8700,  
616000, 2273400,  755429700,  646900,  10300,  10300,  N/A,  10300,  10300,  
621000, 2175100,  831066600,  451000,  10000,  10000,  N/A,  10000,  10000,  
626000, 2638300,  839372800,  469900,  9500,  9500,  N/A,  9500,  9500,  
631000, 2807200,  748153800,  611300,  12500,  12500,  N/A,  12500,  12500,  
636000, 2426700,  788840100,  426900,  9500,  9500,  N/A,  9500,  9500,  
641000, 2690600,  831894200,  648000,  10900,  10900,  N/A,  10900,  10900,  
646000, 2253400,  805256100,  849000,  9800,  9800,  N/A,  9800,  9800,  
651000, 2539200,  822877000,  483100,  8900,  8900,  N/A,  8900,  8900,  
656000, 3139700,  972784500,  723500,  12200,  12200,  N/A,  12200,  12200,  
661000, 3314600,  843632000,  790600,  13200,  13200,  N/A,  13200,  13200,  
666000, 5440600,  848262800,  678900,  12900,  12900,  N/A,  12900,  12900,  
671000, 3018400,  893828400,  514900,  9200,  9200,  N/A,  9200,  9200,  
676000, 3027300,  882889200,  514700,  10200,  10200,  N/A,  10200,  10200,  
681000, 3884200,  828692000,  488400,  9900,  9900,  N/A,  9900,  9900,  
686000, 3369700,  867240900,  468200,  9100,  9100,  N/A,  9100,  9100,  
691000, 3061900,  890444200,  499300,  9600,  9600,  N/A,  9600,  9600,  
696000, 3192900,  956629200,  737400,  12400,  12400,  N/A,  12400,  12400,  
701000, 3152800,  909851000,  734200,  12200,  12200,  N/A,  12200,  12200,  
706000, 3403600,  882722800,  488100,  9300,  9300,  N/A,  9300,  9300,  
711000, 3644400,  863798000,  745300,  12000,  12000,  N/A,  12000,  12000,  
